population,households,median_house_value
474.0,242.0,74300.0
471.0,187.0,153800.0
494.0,254.0,132200.0
475.0,155.0,89500.0
425.0,175.0,96100.0
420.0,187.0,105800.0
425.0,157.0,36700.0
421.0,198.0,143400.0
480.0,179.0,107000.0
443.0,158.0,71300.0
434.0,187.0,76100.0
473.0,154.0,113500.0
481.0,185.0,146300.0
457.0,106.0,102800.0
458.0,143.0,96300.0
476.0,169.0,50000.0
490.0,164.0,14999.0
436.0,213.0,32900.0
426.0,208.0,50600.0
440.0,170.0,69800.0
476.0,143.0,50700.0
477.0,41.0,47500.0
409.0,212.0,95200.0
447.0,173.0,102900.0
483.0,170.0,68200.0
451.0,170.0,88900.0
421.0,113.0,156300.0
422.0,159.0,91700.0
443.0,146.0,100000.0
424.0,174.0,87500.0
442.0,106.0,56100.0
470.0,158.0,118800.0
425.0,244.0,111500.0
461.0,142.0,83300.0
406.0,154.0,78300.0
406.0,146.0,73500.0
486.0,167.0,213000.0
483.0,87.0,137500.0
402.0,100.0,175900.0
433.0,83.0,174300.0
450.0,148.0,193800.0
449.0,166.0,382400.0
471.0,228.0,364700.0
473.0,179.0,186400.0
452.0,187.0,333900.0
495.0,196.0,225000.0
464.0,163.0,203900.0
425.0,140.0,201400.0
475.0,192.0,222500.0
499.0,179.0,190400.0
450.0,145.0,483100.0
459.0,217.0,467600.0
498.0,216.0,500001.0
493.0,211.0,500001.0
492.0,224.0,386700.0
483.0,163.0,162500.0
462.0,131.0,212500.0
407.0,145.0,185800.0
495.0,191.0,223500.0
423.0,230.0,500001.0
482.0,134.0,67500.0
416.0,138.0,200000.0
445.0,140.0,137500.0
439.0,201.0,230800.0
435.0,235.0,230900.0
401.0,86.0,109400.0
434.0,123.0,109100.0
435.0,193.0,350000.0
490.0,105.0,175000.0
457.0,120.0,500001.0
495.0,167.0,500001.0
434.0,232.0,450000.0
468.0,255.0,474300.0
462.0,194.0,242000.0
458.0,187.0,333600.0
455.0,193.0,223200.0
470.0,96.0,38800.0
485.0,110.0,107500.0
416.0,173.0,133300.0
466.0,121.0,91300.0
438.0,114.0,81300.0
448.0,120.0,90600.0
411.0,100.0,90000.0
487.0,118.0,87000.0
497.0,197.0,500001.0
414.0,160.0,500001.0
419.0,171.0,500001.0
415.0,209.0,500001.0
410.0,152.0,500001.0
482.0,226.0,500001.0
420.0,190.0,500001.0
491.0,287.0,319400.0
442.0,131.0,333300.0
488.0,224.0,357600.0
489.0,202.0,331000.0
493.0,206.0,325800.0
478.0,265.0,500001.0
494.0,209.0,365900.0
415.0,163.0,422000.0
451.0,172.0,411200.0
494.0,242.0,456300.0
497.0,228.0,303300.0
429.0,188.0,187500.0
486.0,250.0,350000.0
481.0,163.0,265600.0
407.0,159.0,500001.0
446.0,210.0,331300.0
479.0,179.0,253700.0
493.0,160.0,298800.0
499.0,263.0,282600.0
485.0,240.0,352100.0
420.0,150.0,361700.0
490.0,176.0,223100.0
471.0,301.0,331800.0
403.0,208.0,366700.0
412.0,157.0,293800.0
444.0,204.0,161000.0
467.0,178.0,386200.0
446.0,153.0,151300.0
499.0,163.0,161300.0
466.0,149.0,249400.0
460.0,83.0,133300.0
484.0,166.0,191100.0
451.0,132.0,332200.0
469.0,97.0,107500.0
421.0,138.0,220100.0
478.0,199.0,252800.0
405.0,121.0,447100.0
409.0,123.0,146400.0
455.0,196.0,155400.0
421.0,202.0,268100.0
431.0,187.0,470800.0
454.0,181.0,55000.0
430.0,213.0,215000.0
413.0,139.0,396700.0
419.0,156.0,225000.0
481.0,128.0,199300.0
424.0,137.0,500001.0
484.0,176.0,186200.0
410.0,117.0,147200.0
445.0,150.0,185000.0
444.0,158.0,174400.0
457.0,143.0,162500.0
402.0,95.0,129700.0
455.0,107.0,109200.0
416.0,120.0,142600.0
488.0,107.0,112500.0
498.0,87.0,96400.0
402.0,105.0,137500.0
422.0,119.0,145500.0
474.0,132.0,179800.0
499.0,202.0,165500.0
411.0,165.0,96500.0
440.0,159.0,120800.0
477.0,130.0,130400.0
485.0,166.0,95200.0
475.0,123.0,92600.0
403.0,97.0,180800.0
460.0,118.0,189000.0
471.0,153.0,197400.0
466.0,133.0,187500.0
491.0,144.0,173800.0
490.0,130.0,167600.0
411.0,113.0,164400.0
498.0,137.0,182100.0
416.0,157.0,223700.0
482.0,157.0,219500.0
496.0,196.0,217400.0
422.0,221.0,156300.0
444.0,177.0,245300.0
451.0,164.0,246000.0
493.0,183.0,231400.0
444.0,177.0,231600.0
439.0,71.0,137500.0
492.0,331.0,241700.0
422.0,173.0,287500.0
412.0,119.0,156000.0
499.0,169.0,183800.0
493.0,172.0,233300.0
480.0,177.0,225800.0
417.0,158.0,342600.0
474.0,187.0,500001.0
444.0,196.0,500001.0
498.0,264.0,500001.0
473.0,150.0,259600.0
475.0,228.0,500001.0
444.0,282.0,430800.0
408.0,138.0,500001.0
483.0,178.0,500001.0
414.0,272.0,310000.0
482.0,207.0,418200.0
402.0,142.0,314900.0
486.0,176.0,247600.0
437.0,178.0,179400.0
497.0,190.0,183000.0
487.0,199.0,500001.0
425.0,142.0,187500.0
485.0,104.0,125600.0
413.0,146.0,80700.0
454.0,149.0,61900.0
476.0,171.0,70700.0
471.0,211.0,66100.0
491.0,205.0,307000.0
472.0,284.0,67500.0
427.0,162.0,500001.0
460.0,174.0,451700.0
413.0,197.0,290800.0
467.0,197.0,292200.0
437.0,188.0,242600.0
406.0,151.0,121900.0
448.0,140.0,147100.0
424.0,152.0,154200.0
494.0,161.0,105400.0
499.0,208.0,154600.0
454.0,188.0,116100.0
496.0,147.0,137500.0
478.0,112.0,59600.0
416.0,83.0,87500.0
429.0,181.0,47500.0
434.0,178.0,56100.0
419.0,170.0,82500.0
483.0,208.0,169800.0
483.0,224.0,231800.0
405.0,127.0,322900.0
458.0,142.0,252600.0
465.0,208.0,405800.0
479.0,67.0,200000.0
411.0,214.0,450000.0
490.0,300.0,465800.0
497.0,170.0,407800.0
406.0,165.0,253800.0
403.0,181.0,236500.0
425.0,184.0,241700.0
488.0,265.0,243800.0
406.0,180.0,311100.0
428.0,183.0,287500.0
450.0,197.0,154600.0
482.0,180.0,218100.0
455.0,248.0,130200.0
406.0,136.0,121300.0
403.0,163.0,240800.0
416.0,174.0,304000.0
413.0,184.0,196900.0
462.0,185.0,152000.0
411.0,176.0,151800.0
471.0,219.0,125700.0
486.0,179.0,110900.0
482.0,159.0,174100.0
416.0,200.0,167500.0
429.0,185.0,182100.0
486.0,150.0,270100.0
426.0,186.0,220700.0
460.0,243.0,190600.0
469.0,293.0,119900.0
470.0,342.0,108300.0
479.0,336.0,55000.0
428.0,203.0,195400.0
462.0,224.0,384700.0
426.0,234.0,187500.0
441.0,203.0,500001.0
410.0,171.0,500001.0
465.0,236.0,93800.0
498.0,278.0,500001.0
435.0,203.0,500001.0
425.0,288.0,312500.0
463.0,215.0,500001.0
470.0,333.0,225000.0
497.0,244.0,225000.0
448.0,95.0,350000.0
482.0,190.0,225000.0
483.0,187.0,194500.0
436.0,104.0,186200.0
462.0,223.0,219000.0
474.0,170.0,298900.0
494.0,172.0,350000.0
498.0,156.0,220800.0
496.0,168.0,224700.0
488.0,139.0,195200.0
487.0,98.0,162500.0
479.0,161.0,215600.0
436.0,180.0,211300.0
491.0,197.0,500001.0
420.0,130.0,462800.0
454.0,209.0,145800.0
409.0,174.0,196900.0
421.0,162.0,158300.0
493.0,184.0,118200.0
443.0,170.0,187500.0
463.0,190.0,92000.0
407.0,146.0,110800.0
476.0,142.0,88900.0
462.0,186.0,162500.0
466.0,203.0,116000.0
476.0,142.0,121100.0
443.0,135.0,122800.0
440.0,134.0,173900.0
453.0,158.0,120700.0
434.0,110.0,56700.0
443.0,169.0,137500.0
446.0,195.0,128100.0
457.0,199.0,115300.0
442.0,179.0,155700.0
454.0,185.0,100000.0
451.0,264.0,321900.0
437.0,210.0,90000.0
411.0,214.0,220500.0
473.0,237.0,500001.0
486.0,190.0,85000.0
456.0,250.0,168800.0
443.0,210.0,131700.0
452.0,245.0,137800.0
452.0,232.0,121200.0
479.0,177.0,104000.0
425.0,147.0,93800.0
452.0,209.0,179800.0
414.0,150.0,283300.0
460.0,206.0,265700.0
447.0,182.0,115600.0
460.0,193.0,127100.0
462.0,219.0,64900.0
464.0,159.0,60900.0
494.0,231.0,331300.0
450.0,158.0,108600.0
474.0,173.0,97300.0
424.0,155.0,116100.0
470.0,201.0,148300.0
415.0,160.0,217400.0
447.0,216.0,124300.0
430.0,174.0,158800.0
457.0,133.0,157500.0
478.0,155.0,241100.0
429.0,212.0,52800.0
457.0,190.0,184200.0
431.0,132.0,95300.0
486.0,204.0,213500.0
489.0,136.0,221300.0
439.0,141.0,155000.0
401.0,174.0,90800.0
444.0,120.0,67000.0
431.0,130.0,73100.0
486.0,139.0,68200.0
476.0,91.0,73100.0
401.0,120.0,82100.0
432.0,168.0,81900.0
486.0,196.0,84900.0
483.0,165.0,64700.0
433.0,159.0,75000.0
416.0,151.0,89000.0
441.0,185.0,132000.0
410.0,191.0,157100.0
428.0,239.0,68300.0
459.0,190.0,500001.0
434.0,180.0,500001.0
498.0,223.0,331400.0
478.0,240.0,300000.0
470.0,217.0,203100.0
426.0,153.0,219200.0
491.0,110.0,158900.0
481.0,215.0,240900.0
480.0,108.0,91100.0
463.0,112.0,78800.0
483.0,120.0,162500.0
460.0,147.0,137500.0
459.0,244.0,191700.0
468.0,193.0,334500.0
436.0,190.0,345700.0
458.0,205.0,328600.0
442.0,250.0,500000.0
403.0,228.0,241700.0
490.0,267.0,270600.0
455.0,298.0,275000.0
469.0,177.0,500001.0
480.0,255.0,500001.0
423.0,136.0,183900.0
495.0,191.0,283800.0
442.0,173.0,204000.0
409.0,222.0,192200.0
422.0,158.0,183000.0
467.0,160.0,248100.0
445.0,140.0,93000.0
423.0,161.0,136300.0
494.0,233.0,150000.0
420.0,164.0,150000.0
408.0,138.0,189700.0
434.0,234.0,94600.0
472.0,145.0,290500.0
454.0,169.0,173700.0
441.0,174.0,169500.0
404.0,135.0,130400.0
496.0,207.0,149300.0
463.0,152.0,229300.0
486.0,204.0,185000.0
424.0,288.0,85800.0
470.0,313.0,90800.0
436.0,168.0,160600.0
426.0,137.0,214300.0
470.0,217.0,158900.0
452.0,184.0,83700.0
473.0,250.0,500001.0
437.0,272.0,500001.0
445.0,257.0,500000.0
402.0,157.0,500001.0
483.0,181.0,500001.0
495.0,208.0,500001.0
481.0,297.0,492300.0
464.0,205.0,428300.0
421.0,255.0,162500.0
494.0,206.0,298900.0
461.0,212.0,310800.0
410.0,148.0,208300.0
480.0,253.0,277300.0
415.0,159.0,249000.0
465.0,162.0,500001.0
434.0,162.0,239300.0
497.0,199.0,438500.0
487.0,207.0,340800.0
438.0,282.0,87500.0
412.0,97.0,60800.0
462.0,193.0,189900.0
463.0,185.0,90600.0
492.0,172.0,72800.0
414.0,171.0,69900.0
498.0,195.0,75200.0
451.0,124.0,60300.0
451.0,198.0,173300.0
491.0,348.0,87500.0
453.0,195.0,113500.0
470.0,192.0,116700.0
437.0,225.0,114100.0
464.0,261.0,133300.0
471.0,178.0,187500.0
460.0,170.0,94200.0
446.0,198.0,96900.0
443.0,144.0,86300.0
426.0,179.0,119800.0
427.0,176.0,110400.0
417.0,166.0,151300.0
477.0,137.0,315000.0
455.0,152.0,417600.0
407.0,159.0,306800.0
429.0,157.0,376800.0
419.0,215.0,368200.0
492.0,205.0,396900.0
465.0,247.0,352800.0
445.0,139.0,289400.0
463.0,177.0,294200.0
455.0,171.0,314100.0
492.0,173.0,267000.0
497.0,175.0,255300.0
486.0,199.0,500001.0
415.0,154.0,500001.0
404.0,195.0,319200.0
412.0,272.0,300000.0
488.0,270.0,258300.0
411.0,245.0,314300.0
434.0,219.0,500001.0
407.0,182.0,158000.0
446.0,133.0,163400.0
484.0,224.0,112500.0
467.0,316.0,200000.0
424.0,163.0,241100.0
446.0,145.0,327600.0
446.0,163.0,291300.0
455.0,211.0,215900.0
431.0,123.0,241000.0
455.0,296.0,221000.0
445.0,143.0,196300.0
492.0,155.0,328000.0
492.0,160.0,348300.0
441.0,282.0,47500.0
431.0,173.0,281900.0
408.0,258.0,181300.0
484.0,174.0,371900.0
467.0,156.0,360600.0
455.0,216.0,292900.0
499.0,324.0,253600.0
413.0,274.0,40000.0
421.0,153.0,266700.0
412.0,180.0,290600.0
448.0,196.0,316700.0
475.0,205.0,359000.0
448.0,168.0,366700.0
485.0,199.0,373400.0
464.0,182.0,500001.0
495.0,216.0,500001.0
410.0,171.0,500001.0
441.0,200.0,492000.0
467.0,189.0,500001.0
498.0,201.0,500001.0
446.0,173.0,234500.0
469.0,155.0,385700.0
403.0,130.0,308700.0
495.0,201.0,258300.0
488.0,228.0,234400.0
408.0,148.0,222600.0
420.0,145.0,273300.0
497.0,208.0,146300.0
451.0,200.0,422400.0
468.0,150.0,84400.0
417.0,136.0,58200.0
494.0,227.0,75800.0
495.0,181.0,76400.0
477.0,129.0,87500.0
432.0,190.0,92400.0
498.0,216.0,96100.0
450.0,154.0,197700.0
495.0,156.0,157700.0
485.0,171.0,228200.0
469.0,162.0,125000.0
446.0,167.0,122700.0
477.0,315.0,75000.0
434.0,162.0,209600.0
493.0,335.0,67500.0
478.0,183.0,384600.0
401.0,194.0,178300.0
475.0,242.0,258300.0
462.0,230.0,350000.0
473.0,163.0,231800.0
458.0,172.0,140400.0
489.0,168.0,169300.0
414.0,162.0,175000.0
488.0,215.0,140600.0
421.0,151.0,77300.0
429.0,150.0,170200.0
408.0,196.0,182400.0
432.0,150.0,103100.0
401.0,255.0,127100.0
459.0,195.0,70000.0
402.0,112.0,189200.0
443.0,127.0,60000.0
488.0,157.0,170500.0
469.0,139.0,175000.0
451.0,150.0,193800.0
449.0,168.0,129700.0
431.0,121.0,131300.0
451.0,159.0,97900.0
410.0,122.0,110400.0
410.0,165.0,63200.0
451.0,178.0,63300.0
464.0,148.0,58200.0
423.0,172.0,81300.0
461.0,149.0,109100.0
405.0,180.0,61900.0
442.0,136.0,137500.0
481.0,140.0,112500.0
408.0,129.0,85900.0
426.0,122.0,47500.0
422.0,186.0,217500.0
496.0,205.0,104800.0
422.0,160.0,111300.0
416.0,189.0,132500.0
446.0,165.0,112500.0
479.0,138.0,156300.0
436.0,70.0,262500.0
445.0,203.0,396400.0
489.0,106.0,170800.0
410.0,149.0,87500.0
405.0,103.0,167400.0
493.0,142.0,500001.0
450.0,173.0,500001.0
415.0,119.0,500001.0
467.0,144.0,250000.0
457.0,157.0,225000.0
459.0,209.0,123400.0
488.0,199.0,92700.0
413.0,88.0,57900.0
484.0,157.0,77500.0
457.0,157.0,67000.0
